abaddon
alchemist,ALch,alch,razzil,Razzil
ancient apparition,AA,aa
anti-mage,am,anti,antimage,Anti-Mage
arcwarden,AW,aw
axe,Mogul Khan,Khan,khan
bane,Antropos
batrider,Bat,Jinzakk
beastmaster,BM,Rexxar
bloodseeker,BS,Strygwyr
bounty hunter,BH,bh,bounty,Gondar
brewmaster,Panda,Strygwyr,Mangix
bristleback,bb
broodmother,broodmama
centaurwarrunner,cent
chaosknight,ck
chen
clinkz,bonefletcher
clockwerk
crystalmaiden,CM,rylai
darkseer,ds,DS
dazzle
deathprophet,DP,dp
disruptor
doom
dragonknight,DK,dk
drowranger,drow
earthspirit
earthshaker
eldertitan,ET,et
emberspirit
enchantress,drawbridge
enigma
facelessvoid,fv
gyrocopter
huskar
invoker
io
jakiro
juggernaut
keeperofthelight,kotl
kunkka,admiral
legioncommander,LC,lc
leshrac
lich
lifestealer
lina
lion
lonedruid,LD,ld
luna
lycan
magnus
medusa
meepo
mirana
monkeyking
morphling
naga siren
NaturesProphet,nature,np,furion,naturesprophet
necrophos
night stalker,ns,NS
nyx assassin
ogremagi
omniknight
oracle
outworlddevourer,od,OD
phantom assassin
phantom lancer
phoenix
puck
pudge,Butcher,butcher
pugna
queenofpain,QOP
razor
riki
rubick
sandking
shadowdemon
shadowfiend,SF,sf
shadowshaman
silencer
skywrath mage
slardar
slark
sniper
spectre,spec
spiritbreaker
stormspirit,ss
sven
techies
templarassassin,TA,ta
terrorblade,TB,tb
tidehunter,tide
timbersaw
tinker
tiny,rockman
treant protector
troll warlord
tusk
underlord
undying
ursa
vengefulspirit
venomancer,buenomancer
viper
visage
warlock
weaver
windranger
winterwyvern
witchdoctor,wd,WD
wraithking,wk,WK
zeus
